TAHUN,KECAMATAN,KOMODITAS,LUAS_PANEN,PRODUKSI,PRODUKTIVITAS
2025,PASEKAN,KETIMUN,0.00,0.00,0.00
"2025,PASEKAN,SEMANGKA,22.00,""3,000.00"",136.36"
2025,PASEKAN,TOMAT,0.00,0.00,0.00
"2025,LOHBENER,PADI,""5,100.00"",""35,069.54"",68.76"
2025,LOHBENER,BAWANG MERAH,0.00,0.00,0.00
2025,LOHBENER,CABAI BESAR,0.00,9.80,0.00
2025,LOHBENER,CABAI RAWIT,0.41,43.50,106.10
2025,LOHBENER,KACANG PANJANG,0.00,0.00,0.00
2025,LOHBENER,KETIMUN,0.00,0.00,0.00
2025,LOHBENER,SEMANGKA,0.00,0.00,0.00
2025,LOHBENER,TOMAT,0.15,12.90,86.00
"2025,ARAHAN,PADI,""3,711.00"",""24,750.55"",66.70"
2025,ARAHAN,BAWANG MERAH,0.00,0.00,0.00
2025,ARAHAN,CABAI BESAR,0.20,0.00,0.00
2025,ARAHAN,CABAI RAWIT,34.80,485.00,13.94
2025,ARAHAN,KACANG PANJANG,0.00,0.00,0.00
2025,ARAHAN,KETIMUN,0.00,0.00,0.00
2025,ARAHAN,SEMANGKA,0.00,0.00,0.00
2025,ARAHAN,TOMAT,2.50,300.00,120.00
"2025,LOSARANG,PADI,""10,225.00"",""78,919.18"",77.18"
2025,LOSARANG,BAWANG MERAH,5.30,223.00,42.08
2025,LOSARANG,CABAI BESAR,7.80,19.70,2.53
2025,LOSARANG,CABAI RAWIT,8.40,150.30,17.89
2025,LOSARANG,KACANG PANJANG,0.50,2.00,4.00
2025,LOSARANG,KETIMUN,0.40,8.00,20.00
2025,LOSARANG,SEMANGKA,1.00,2.00,2.00
2025,LOSARANG,TOMAT,5.60,71.60,12.79
"2025,KANDANGHAUR,PADI,""10,968.00"",""77,861.58"",70.99"
2025,KANDANGHAUR,BAWANG MERAH,1.50,62.00,41.33
2025,KANDANGHAUR,CABAI BESAR,1.20,184.00,153.33
2025,KANDANGHAUR,CABAI RAWIT,2.30,409.00,177.83
2025,KANDANGHAUR,KACANG PANJANG,1.00,53.00,53.00
"2025,KANDANGHAUR,KETIMUN,0.50,""1,388.00"",""2,776.00"""
2025,KANDANGHAUR,SEMANGKA,1.00,90.00,90.00
"2025,KANDANGHAUR,TOMAT,1.50,""1,146.00"",764.00"
"2025,BONGAS,PADI,""7,860.00"",""40,700.85"",51.78"
2025,BONGAS,BAWANG MERAH,10.50,872.00,83.05
2025,BONGAS,CABAI BESAR,2.50,10.00,4.00
2025,BONGAS,CABAI RAWIT,1.00,24.00,24.00
2025,BONGAS,KACANG PANJANG,2.50,20.00,8.00
2025,BONGAS,KETIMUN,0.00,0.00,0.00
2025,BONGAS,SEMANGKA,0.00,0.00,0.00
2025,BONGAS,TOMAT,0.50,35.00,70.00
"2025,ANJATAN,PADI,""12,290.00"",""80,861.36"",65.79"
"2025,ANJATAN,BAWANG MERAH,32.00,""1,356.00"",42.38"
2025,ANJATAN,CABAI BESAR,4.00,0.00,0.00
2025,ANJATAN,CABAI RAWIT,2.00,8.00,4.00
2025,ANJATAN,KACANG PANJANG,33.00,2.853.00,0.00
"2025,ANJATAN,KETIMUN,42.00,""2,148.00"",51.14"
2025,ANJATAN,SEMANGKA,0.00,0.00,0.00
2025,ANJATAN,TOMAT,3.00,6.00,2.00
"2025,SUKRA,PADI,""6,890.00"",""51,698.64"",75.03"
2025,SUKRA,BAWANG MERAH,2.30,167.00,72.61
2025,SUKRA,CABAI BESAR,0.20,0.00,0.00
2025,SUKRA,CABAI RAWIT,0.00,0.00,0.00
2025,SUKRA,KACANG PANJANG,0.30,60.00,200.00
2025,SUKRA,KETIMUN,0.00,0.00,0.00
2025,SUKRA,SEMANGKA,0.00,0.00,0.00
2025,SUKRA,TOMAT,0.20,66.00,330.00
"2025,PATROL,PADI,""6,118.00"",""40,656.53"",66.45"
"2025,PATROL,BAWANG MERAH,344.00,""25,455.00"",74.00"
2025,PATROL,CABAI BESAR,15.00,265.00,17.67
2025,PATROL,CABAI RAWIT,40.00,781.00,19.53
2025,PATROL,KACANG PANJANG,26.00,684.00,26.31
2025,PATROL,KETIMUN,31.00,489.00,15.77
2025,PATROL,SEMANGKA,0.00,0.00,0.00
"2025,PATROL,TOMAT,38.00,""1,099.00"",28.92"
